id,category,creation_date,adresse_siege_social,rating,type_entreprise,nb_employees,nb_clients,nb_societies,nb_societies_interna...,sales
AGMES,"AGMES is a modern jewelry line inspired by urban landscapes, architecture and modern art. Handmade in New York City from sterling silver & 18k gold vermeil, and 14k solid gold. Discover the collection",,10013 Information,,LLC,,,,,
AJE,"Aje is all about effortless style, with elevated everyday essentials and statement occasion pieces. Shop ready-to-wear, denim and accessories online.",,,,Ltd,,,,,
ALISON LOU,Discover fine jewelry designed by creative director Alison Chemla as she cultivates class in modern designer fashion. Shop the Alison Lou collections now!,,,,,,,,,
Adam Lippes,"Shop the official site of New York designer, Adam Lippes. Explore our collection of luxury women's knitwear, outerwear, dresses, suiting, and more. Enjoy complimentary shipping on all orders.",,,,Inc,,,,,
Aimé Leon Dore,"Created in 2014, Aimé Leon Dore is a fashion and lifestyle brand based out of New York City.",,,,,,,,,
Alessandra Rich,"Founded in 2010, Alessandra Rich's power lies in the balance between playful innocence and daring subversion, showcasing the most provocative and rebellious facets of modern femininity. Deliberately d",,,,,,,,,
Alix of Bohemia,Official Website of Alix of Bohemia. Alix of Bohemia creates handmade garments using traditional methods and artisanal fabrics.,,11231 SECTION,,LLC,,,,,
Altuzarra,"Altuzarra is a luxury women's ready-to-wear and accessories collection, launched by Joseph Altuzarra in 2008. Joseph's commitment is to create a sophisticated, modern wardrobe, built on the principles",,,,LLC,,,,,
Amanu Studio,"We honor Africa's rich landscapes and traditions by crafting timeless, handcrafted pieces with care. Each design blends artisans' skills and sustainability, celebrating the beauty of handmade artistry",,,,,,,,,
Ancient Greek Sandals,Browse our range of Greek sandals – modern shoes inspired by ancient Greek gods. Ancient Greek Sandals are handmade in Greece using traditional techniques.,,,,,,,,,
Andrea Fohrman,"You deserve the moon and the stars. Andrea Fohrman's celestial-inspired fine jewelry collection is delicate but bold, one of a kind, and out of this world. Find the star that guides you and shine brig",,,,,,,,,
Another Tomorrow,"Discover consciously crafted wardrobe icons : sustainable, and ethically made. Enjoy flat rate international shipping, free shipping in the US, and easy returns. Explore our new arrivals and join our ",,10010 Email,,Inc,,,,,
BODE New York,Bode is an American luxury brand that expresses a sentimentality for the past through the study of personal narratives and historical techniques. Modern workwear silhouettes united with female-centric,,,,LLC,,,,,
BONDI BORN,BONDI BORN® | Australian contemporary designer of luxury swim and resort wear. Sustainably made using the world's finest quality fabrics.,,,,Ltd,,,,,
BPE,"Danielle Frankel is inspired by celebration and the beauty of bridal. With a respect for nostalgia and tradition, but with a forward and directional approach to modern desires, designer Danielle Frank",,,,Inc,,,,,
Barton Perreira,Barton Perreira is an independent eyewear brand that takes time to invest in craftsmanship that produces nothing less than the finest eyewear in the world.,,,,,,,,,
Berceau,"Inspired by the universal symbols, shapes and stories that transcend cultural boundaries. We pride ourselves in creating unique and distinctive designs, that come to life in the hands of master crafts",,60521 United,,Inc,,,,,
