Détail du scoring optimisé,,,,,,,,,,,,,,,,,,,,,,,
"Une ligne par marque x marketplace. Les marketplaces déjà présents ne sont pas éligibles aux 2 recommandations finales, mais leur score est conservé pour audit.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Marque,Nom dans scoring initial,Pays,Catégorie optimisée,Marketplace,Déjà présent ?,Score optimisé,Priorité,Score initial,Fit catégorie,Fit géographique,Échelle commerciale,Readiness ops/wholesale,Fit positionnement,Incrémentalité,Story/durabilité,Pénalité risque,Score modèle brut,CA estimé utilisé ($M),Effectif min utilisé,Intl.,Durable,Positionnement,Notes data
AGMES,AGMES,USA,Fine Jewelry,Bloomingdale's,Non,"83,5",P1 — Fort potentiel,"82,0","30,0","12,0","10,7","10,0","12,0","4,0","2,0","-2,0","83,7","5,0",5,Medium,TRUE,luxury_premium,OK
AGMES,AGMES,USA,Fine Jewelry,Nordstrom,Oui,"83,5",P1 — Fort potentiel,,"28,0","12,0","11,5","10,0","11,0","4,0","4,0","-2,0","83,5","5,0",5,Medium,TRUE,luxury_premium,OK
AGMES,AGMES,USA,Fine Jewelry,John Lewis,Non,"74,1",P2 — Recommandé,"82,0","19,0","9,0","10,7","11,0","11,0","5,5","4,0","-2,0","73,2","5,0",5,Medium,TRUE,luxury_premium,OK
AGMES,AGMES,USA,Fine Jewelry,Galeries Lafayette,Non,"69,8",P3 — Test / à cadrer,"72,0","25,0","8,0","8,0","10,0","12,0","6,0","2,5","-7,0","69,5","5,0",5,Medium,TRUE,luxury_premium,OK
AGMES,AGMES,USA,Fine Jewelry,La Redoute,Non,"56,2",Watchlist — faible fit,"67,0","16,0","8,0","12,0","11,0","8,0","6,0","4,0","-15,0","55,0","5,0",5,Medium,TRUE,luxury_premium,OK
AGMES,AGMES,USA,Fine Jewelry,Debenhams,Non,"54,4",Watchlist — faible fit,"67,0","18,0","10,0","12,0","11,0","7,0","5,0","2,0","-17,0","53,0","5,0",5,Medium,TRUE,luxury_premium,OK
AJE,AJE,Australia,Womenswear RTW,Nordstrom,Oui,"87,0",P1 — Fort potentiel,,"27,0","12,0","15,0","9,0","12,0","6,0","1,0","0,0","87,0","14,0",297,High,FALSE,premium_contemporary,OK
AJE,AJE,Australia,Womenswear RTW,Bloomingdale's,Non,"85,1",P1 — Fort potentiel,"95,0","28,0","10,0","15,0","9,0","10,0","6,0","1,0","0,0","84,0","14,0",297,High,FALSE,premium_contemporary,OK
AJE,AJE,Australia,Womenswear RTW,Debenhams,Non,"84,8",P1 — Fort potentiel,"65,0","28,0","11,0","15,0","10,0","12,0","5,0","1,0","0,0","87,0","14,0",297,High,FALSE,premium_contemporary,OK
AJE,AJE,Australia,Womenswear RTW,John Lewis,Oui,"83,5",P1 — Fort potentiel,,"26,0","10,0","15,0","10,0","11,0","5,5","1,0","0,0","83,5","14,0",297,High,FALSE,premium_contemporary,OK
AJE,AJE,Australia,Womenswear RTW,Galeries Lafayette,Non,"81,9",P1 — Fort potentiel,"75,0","30,0","9,0","13,7","9,0","9,0","6,0","1,0","0,0","82,7","14,0",297,High,FALSE,premium_contemporary,OK
AJE,AJE,Australia,Womenswear RTW,La Redoute,Non,"80,6",P1 — Fort potentiel,"50,0","27,0","9,0","15,0","10,0","11,0","6,0","1,0","0,0","84,0","14,0",297,High,FALSE,premium_contemporary,OK
ALISON LOU,ALISON LOU,USA,Fine Jewelry,Bloomingdale's,Oui,"84,4",P1 — Fort potentiel,,"30,0","12,0","11,4","10,0","12,0","3,0","1,0","0,0","84,4","5,0",11,High,FALSE,luxury_premium,OK
ALISON LOU,ALISON LOU,USA,Fine Jewelry,Nordstrom,Oui,"82,4",P1 — Fort potentiel,,"28,0","12,0","12,4","10,0","11,0","3,0","1,0","0,0","82,4","5,0",11,High,FALSE,luxury_premium,OK
ALISON LOU,ALISON LOU,USA,Fine Jewelry,John Lewis,Non,"72,5",P2 — Recommandé,"87,0","19,0","9,0","11,4","10,0","11,0","4,5","1,0","0,0","70,9","5,0",11,High,FALSE,luxury_premium,OK
ALISON LOU,ALISON LOU,USA,Fine Jewelry,Galeries Lafayette,Non,"70,7",P2 — Recommandé,"72,0","25,0","8,0","9,5","10,0","12,0","5,0","1,0","-5,0","70,5","5,0",11,High,FALSE,luxury_premium,OK
ALISON LOU,ALISON LOU,USA,Fine Jewelry,La Redoute,Non,"52,3",Watchlist — faible fit,"65,0","16,0","8,0","12,9","10,0","8,0","5,0","1,0","-15,0","50,9","5,0",11,High,FALSE,luxury_premium,OK
ALISON LOU,ALISON LOU,USA,Fine Jewelry,Debenhams,Non,"52,3",Watchlist — faible fit,"65,0","18,0","10,0","12,9","10,0","7,0","4,0","1,0","-17,0","50,9","5,0",11,High,FALSE,luxury_premium,OK
Adam Lippes,Adam Lippes,USA,Womenswear RTW,Bloomingdale's,Oui,"84,0",P1 — Fort potentiel,,"28,0","12,0","12,0","10,0","12,0","3,0","2,0","0,0","84,0","3,0",27,High,FALSE,luxury_premium,OK
Adam Lippes,Adam Lippes,USA,Womenswear RTW,Nordstrom,Oui,"82,5",P1 — Fort potentiel,,"27,0","12,0","12,5","10,0","11,0","3,0","2,0","0,0","82,5","3,0",27,High,FALSE,luxury_premium,OK
