Brand Name,brandUrl,Scraped_Title,Scraped_Description,Emails,Social_Links
AGMES,agmesnyc.com,"AGMES Jewelry: Sculptural Jewelry- Handmade in NYC, Timeless by Design","AGMES is a modern jewelry line inspired by urban landscapes, architecture and modern art. Handmade in New York City from sterling silver & 18k gold vermeil, and 14k solid gold. Discover the collection of rings, bracelets, necklaces and earrings online now ~",,https://www.instagram.com/agmesnyc/?hl=en; https://www.instagram.com/agmesnyc/
AJE,ajeworld.com,"Aje | Designer Women's Clothing
– Aje ROW","Aje is all about effortless style, with elevated everyday essentials and statement occasion pieces. Shop ready-to-wear, denim and accessories online.",,https://twitter.com/theajeworld; https://www.pinterest.com.au/ajeworld; https://www.facebook.com/theajeworld/; https://www.instagram.com/_aje_/
ALISON LOU,alisonlou.com,Alison Lou - Fine Jewelry Made in NYC,Discover fine jewelry designed by creative director Alison Chemla as she cultivates class in modern designer fashion. Shop the Alison Lou collections now!,,https://www.facebook.com/alisonloujewelry/; https://www.pinterest.com/alison_lou/; https://www.instagram.com/alisonlou/
Adam Lippes,adamlippes.com,Adam Lippes,"Shop the official site of New York designer, Adam Lippes. Explore our collection of luxury women's knitwear, outerwear, dresses, suiting, and more. Enjoy complimentary shipping on all orders.",,https://www.facebook.com/adamlippes/; https://www.instagram.com/adamlippes/; https://www.linkedin.com/company/adam-adam-lippes
Aimé Leon Dore,aimeleondore.com,Aimé Leon Dore,"Created in 2014, Aimé Leon Dore is a fashion and lifestyle brand based out of New York City.",,https://www.instagram.com/aimeleondore/
Alessandra Rich,alessandrarich.com,Alessandra Rich,"Founded in 2010, Alessandra Rich's power lies in the balance between playful innocence and daring subversion, showcasing the most provocative and rebellious facets of modern femininity. Deliberately distancing itself from conventional aesthetics, the brand captures the essence of a liberated and selfaware woman.",,https://www.instagram.com/alessandrarich
Alix of Bohemia,alixofbohemia.com,Alix of Bohemia: Handmade American Bohemian,Official Website of Alix of Bohemia. Alix of Bohemia creates handmade garments using traditional methods and artisanal fabrics.,,https://www.pinterest.com/alixofbohemia/; https://www.instagram.com/alixofbohemia
Altuzarra,altuzarra.com,Altuzarra Official Website,"Altuzarra is a luxury women's ready-to-wear and accessories collection, launched by Joseph Altuzarra in 2008. Joseph's commitment is to create a sophisticated, modern wardrobe, built on the principles of timelessness and uncompromising quality.",press@altuzarra.com; customerservice@altuzarra.com,https://www.facebook.com/ALTUZARRASTUDIO/; https://www.instagram.com/altuzarra/
Amanu Studio,amanustudio.com,"Shop AMANU
– Amanu Studio","We honor Africa's rich landscapes and traditions by crafting timeless, handcrafted pieces with care. Each design blends artisans' skills and sustainability, celebrating the beauty of handmade artistry and fostering a meaningful connection to the world.",,https://www.pinterest.com/amanustudio/; https://www.linkedin.com/company/amanu/; https://www.facebook.com/profile.php?id=100070538196693; https://www.instagram.com/amanustudio/
Ancient Greek Sandals,ancient-greek-sandals.com,Ancient Greek Sandals | Handmade Greek Sandals & Accessories,Browse our range of Greek sandals – modern shoes inspired by ancient Greek gods. Ancient Greek Sandals are handmade in Greece using traditional techniques.,,https://www.facebook.com/ancientgreeksandals; https://www.instagram.com/ancientgreeksandals/
Andrea Fohrman,andreafohrman.com,Fine Designer Jewelry | Andrea Fohrman,"You deserve the moon and the stars. Andrea Fohrman's celestial-inspired fine jewelry collection is delicate but bold, one of a kind, and out of this world. Find the star that guides you and shine bright!",,https://www.tiktok.com/@andreafohrman?is_copy_url=1&is_from_webapp=v1; https://www.instagram.com/andreafohrman/; https://www.facebook.com/AndreaFohrmanJewelry
Another Tomorrow,anothertomorrow.co,Another Tomorrow | Sustainable Fashion,"Discover consciously crafted wardrobe icons : sustainable, and ethically made. Enjoy flat rate international shipping, free shipping in the US, and easy returns. Explore our new arrivals and join our list for exclusive access to future collections.",,https://www.facebook.com/anothertomorrownyc/; https://fr.pinterest.com/Another_Tomorrow/; https://www.instagram.com/anothertomorrow
BODE New York,bodenewyork.com,BODE,"Bode is an American luxury brand that expresses a sentimentality for the past through the study of personal narratives and historical techniques. Modern workwear silhouettes united with female-centric traditions of quilting, mending, and appliqué shape the collections. Each piece tells a story and is tailor-made.",,https://instagram.com/bode
BONDI BORN,bondiborn.com,BONDI BORN® AMERICA & INTL – BONDI BORN INTL,BONDI BORN® | Australian contemporary designer of luxury swim and resort wear. Sustainably made using the world's finest quality fabrics.,,https://www.tiktok.com/@bondibornaustralia; https://www.linkedin.com/company/bondiborn/; https://www.pinterest.com.au/BondiBorn; https://www.instagram.com/bondibornaustralia; https://www.facebook.com/bondibornaustralia/
BPE,daniellefrankelstudio.com,"A Bridal Label Made in New York
 – Danielle Frankel","Danielle Frankel is inspired by celebration and the beauty of bridal. With a respect for nostalgia and tradition, but with a forward and directional approach to modern desires, designer Danielle Frankel Hirsch creates a new perspective of what it means to be a person getting married.",,https://www.instagram.com/daniellefrankel?igsh=bWczbWk4OXVnemd0&utm_source=qr
Barton Perreira,bartonperreira.com,Designer Eyewear Frames and Luxury Sunglasses,Barton Perreira is an independent eyewear brand that takes time to invest in craftsmanship that produces nothing less than the finest eyewear in the world.,,https://www.facebook.com/BartonPerreiraEyewear/; https://www.instagram.com/bartonperreira/; https://www.pinterest.com/bartonperreira/
Berceau,almasika.com,ALMASIKA Fine Jewelry,"Inspired by the universal symbols, shapes and stories that transcend cultural boundaries. We pride ourselves in creating unique and distinctive designs, that come to life in the hands of master craftsmen. Our jewelry is made using 18K gold. All our diamonds are 100% natural and conflict-free.",,https://www.instagram.com/almasikafinejewellery/?hl=en
Borgo de Nor,borgodenor.com,"Borgo de Nor - Designer women's ready to wear dresses, tops, skirts","Discover Borgo de Nor's collection of designer women's ready to wear, day to night silk dresses, printed dresses, tops, skirts, and sweaters",,https://www.instagram.com/borgodenor/; https://www.facebook.com/Borgo-de-Nor-709356839267079/; https://www.pinterest.com/05pr3fnztd1m3z0u6u9ryfqb0luaam/
Brent Neale,brentneale.com,Brent Neale,"Nostalgic and fantastical, Brent Neale jewelry is rooted in the belief that true luxury is unique, surprising and fun. Explore the Brent Neale store.",,https://www.instagram.com/brentnealejewelry/?hl=en
By Pariah,bypariah.com,BY PARIAH | Official Online Store | Worldwide Shipping,"By Pariah - Fine jewellery made from 100% certified recycled metals and natural, untreated diamonds and gemstones. Designed in London, featuring signature hand-carved semi precious and diamond ring stacks, earrings, necklaces, pendants and bangles.",,https://uk.pinterest.com/bypariah/; https://www.instagram.com/bypariah/; https://www.facebook.com/bypariah/
CARLO MORETTI,emporiosirenuse.com,Emporio Sirenuse - Online Store,"A chic contemporary fashion, design and lifestyle collection for women and men that infuses Positano’s dolce vita with Mediterranean romance.",,https://www.facebook.com/EmporioSirenuse/?locale=it_IT; https://www.instagram.com/emporiosirenuse/?hl=it
CDLP,cdlp.se,CDLP – Elevated Essentials | Official Online Store,CDLP is a Swedish design house of men's and women's luxury essentials developed with innovation and consciously constructed in Europe using future-oriented materials.,help@cdlp.com,https://www.instagram.com/cdlp/; https://www.facebook.com/CDLP; https://www.tiktok.com/@cdlp
