Recommandations finales — 2 nouveaux marketplaces par marque,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaque recommandation exclut les marketplaces déjà présents. Les scores reflètent le modèle optimisé; les raisons/risques sont rédigés pour être utilisables en pitch ou en plan d'action.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Marque,URL,Pays,Catégorie optimisée,Tags produits,CA estimé utilisé ($M),Effectif min utilisé,Intl.,Durable / éthique,Positionnement,Marketplaces déjà présents,Reco #1,Score #1,Priorité #1,Pourquoi #1,Plan d'entrée #1,Conditions / risques #1,Reco #2,Score #2,Priorité #2,Pourquoi #2,Plan d'entrée #2,Conditions / risques #2,Opportunité conseil,Confiance,Notes data,Sources marque
AGMES,agmesnyc.com,USA,Fine Jewelry,"fine jewelry, jewelry","5,0",5,Medium,Oui,luxury_premium,Nordstrom,Bloomingdale's,"83,5",P1 — Fort potentiel,"fit catégorie très fort (Fine Jewelry) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $5M, effectif min. 5, international Medium | narratif durable/artisanal monétisable","Pitch curaté 20–40 SKU Fine Jewelry; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",renforcer flux SAV/retours/catalogue avant onboarding,John Lewis,"74,1",P2 — Recommandé,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $5M, effectif min. 5, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,agmesnyc.com/about; ZoomInfo; W Magazine; Finematter; Highperformr
AJE,ajeworld.com,Australia,Womenswear RTW,"accessoires/leather, active/outdoor, womenswear","14,0",297,High,Non,premium_contemporary,"Nordstrom, John Lewis",Bloomingdale's,"85,1",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’expansion US depuis Australia | readiness commerciale: CA $14M, effectif min. 297, international High | forte incrémentalité car canal cible peu/ pas exploité","Pitch curaté 20–40 SKU Womenswear RTW; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",prévoir setup US: TIN/warehouse/retours/service client,Debenhams,"84,8",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis Australia | readiness commerciale: CA $14M, effectif min. 297, international High",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,ajeworld.com.au/our-story; LinkedIn; LeadIQ; PitchBook; RocketReach; CBInsights
ALISON LOU,alisonlou.com,USA,Fine Jewelry,"fine jewelry, jewelry","5,0",11,High,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"72,5",P2 — Recommandé,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $5M, effectif min. 11, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"70,7",P2 — Recommandé,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $5M, effectif min. 11, international High","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,alisonlou.com/about; ZoomInfo; Datanyze; Inc.com; Gem&Jewel; Yelp
Adam Lippes,adamlippes.com,USA,Womenswear RTW,"accessoires/leather, knit/cashmere, womenswear","3,0",27,High,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"81,5",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $3M, effectif min. 27, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Galeries Lafayette,"76,7",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $3M, effectif min. 27, international High","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,Wikipedia; CBInsights; WWD (Feb 2024); RocketReach; Owler; Datanyze
Aimé Leon Dore,aimeleondore.com,USA,Footwear,"accessoires/leather, footwear, home/lifestyle, menswear","30,0",11,Medium,Non,luxury_premium,Nordstrom,John Lewis,"88,7",P1 — Fort potentiel,"fit catégorie très fort (Footwear) | levier d’entrée UK depuis USA | readiness commerciale: CA $30M, effectif min. 11, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Bloomingdale's,"85,5",P1 — Fort potentiel,"fit catégorie solide (Footwear) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $30M, effectif min. 11, international Medium","Pitch curaté 20–40 SKU Footwear; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",aucun blocage majeur; avancer en pitch/onboarding,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,Wikipedia; Tracxn; aimeleondore.com; Highsnobiety; Medium; Business of Fashion
Alessandra Rich,alessandrarich.com,Italy,Womenswear RTW,womenswear,"2,0",10,High,Non,luxury_premium,"Bloomingdale's, John Lewis",Nordstrom,"82,3",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’expansion US depuis Italy | readiness commerciale: CA $2M, effectif min. 10, international High","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,Galeries Lafayette,"72,9",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | cohérence européenne/France | readiness commerciale: CA $2M, effectif min. 10, international High","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding,Pack conseil: setup US marketplace / localisation FR/EUR / assortiment + pitch buyer,Haute,OK,LinkedIn; Highperformr; RocketReach; Tracxn; Annie's Ibiza; fashionbi.com
Alix of Bohemia,alixofbohemia.com,USA,Womenswear RTW,womenswear,"5,0",5,Medium,Oui,premium_contemporary,Aucun dans le set cible,Nordstrom,"85,2",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $5M, effectif min. 5, international Medium | narratif durable/artisanal monétisable","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding,Debenhams,"84,5",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $5M, effectif min. 5, international Medium | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,alixofbohemia.com; ZoomInfo; LeadIQ; VisualVisitor; CIENCE
Altuzarra,altuzarra.com,USA,Womenswear RTW,"accessoires/leather, womenswear","6,0",30,High,Non,luxury_premium,"Bloomingdale's, Nordstrom",Galeries Lafayette,"81,9",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $6M, effectif min. 30, international High","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",localiser fiches produit/prix en EUR et cadrer TVA/retours,John Lewis,"80,5",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $6M, effectif min. 30, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,Wikipedia; altuzarra.com/about; BoF; LeadIQ; RocketReach; LinkedIn
Amanu Studio,amanustudio.com,USA,Footwear,"accessoires/leather, footwear, jewelry","2,0",2,High,Oui,luxury_premium,Aucun dans le set cible,Nordstrom,"83,9",P1 — Fort potentiel,"fit catégorie très fort (Footwear) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $2M, effectif min. 2, international High | narratif durable/artisanal monétisable","Test dropship 30–60 SKU Footwear; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding,John Lewis,"78,8",P2 — Recommandé,"fit catégorie très fort (Footwear) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 2, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,amanustudio.com/about; LinkedIn; Crunchbase; Studio C; ZoomInfo
Ancient Greek Sandals,ancient-greek-sandals.com,Greece,Footwear,"accessoires/leather, footwear, menswear, womenswear","5,0",30,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom, Galeries Lafayette, John Lewis",Debenhams,"72,4",P2 — Recommandé,"fit catégorie très fort (Footwear) | levier d’entrée UK depuis Greece | readiness commerciale: CA $5M, effectif min. 30, international Medium",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP | protéger le prix et l’image: capsule sélective sans promo agressive,La Redoute,"70,2",P2 — Recommandé,"fit catégorie solide (Footwear) | cohérence européenne/France | readiness commerciale: CA $5M, effectif min. 30, international Medium","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,ancient-greek-sandals.com/our-story; BoF; Crunchbase; ZoomInfo; Hole & Corner; ImpacTalk
